ope6_id,name,city,state,zip,college_url,ownership,locale,carnegie_basic,acceptance_rate,sat_25,sat_75,sat_math_25,sat_math_75,sat_cr_25,sat_cr_75,sat_avg,sat_range,act_25,act_75,act_mid,act_range,enrollment,retention_rate,student_faculty_ratio,pct_men,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_two_or_more,tuition_in_state,tuition_out_state,net_price,cost_attendance,median_debt,pell_rate,loan_rate,grad_rate,earnings_6yr,earnings_8yr,earnings_10yr
042840,Pacific Northwest Christian College,Kennewick,WA,99336-5144,https://www.pnwcc.edu/,Private,City,-2,,,,,,,,,,,,,,129,,10,80.6,19.4,31.0,5.4,53.5,0.0,7.0,11350,11350,5857,13489,,47.0,30.1,,,,
003207,Pacific Northwest College of Art,Portland,OR,97209-3404,willamette.edu/pnca/index.html,Private,City,-2,68.5,,,,,,,,,,,,,412,62.9,9,20.6,79.4,61.9,4.6,11.7,3.4,8.7,47126,47126,40846,67040,25000,44.1,53.5,43.1,23500,29008,34883
041305,Pacific Northwest University of Health Sciences,Yakima,WA,98901,https://www.pnwu.edu/,Private,Suburb,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001255,Pacific Oaks College,Pasadena,CA,91103,https://www.pacificoaks.edu/,Private,City,19,10.0,,,,,,,,,,,,,346,,3,10.7,89.3,17.3,12.4,56.6,2.3,4.6,33360,33360,,,29105,55.0,73.6,,39500,48152,52485
042527,Pacific Rim Christian University,Honolulu,HI,96819-2228,https://www.pacrim.edu/#home,Private,City,22,,,,,,,,,,,,,,113,85.7,7,40.7,59.3,12.4,5.3,18.6,26.6,15.0,12380,12380,22668,24042,,86.3,54.7,53.1,,48304,40523
001256,Pacific School of Religion,Berkeley,CA,94709,www.psr.edu/,Private,City,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031633,Pacific States University,Los Angeles,CA,90010-2263,www.psuca.edu/,Private,City,29,,,,,,,,,,,,,,17,100.0,7,70.6,29.4,0.0,0.0,0.0,0.0,0.0,9810,9810,,,,,,,,,
001258,Pacific Union College,Angwin,CA,94508-9707,https://www.puc.edu/,Private,Rural,22,42.5,930,1190,440,585,490,605,1093,930-1190,20,24,,20-24,910,87.5,11,36.9,63.1,17.8,5.9,29.7,21.1,12.6,35214,35214,20979,47244,27500,33.4,59.3,48.8,48600,61312,70484
003212,Pacific University,Forest Grove,OR,97116,https://www.pacificu.edu/,Private,Suburb,17,91.8,990,1240,490,600,500,640,1123,990-1240,17,28,23,17-28,1556,76.3,9,42.2,57.8,44.0,2.4,19.1,13.5,13.2,54466,54466,35350,69330,23223,26.7,80.8,65.5,35800,54158,60583
031268,Pacifica Graduate Institute,Carpinteria,CA,93013,www.pacifica.edu/,For-Profit,Rural,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007459,Paier College,Bridgeport,CT,06606,www.paier.edu/,For-Profit,City,22,61.5,,,,,,,,,,,,,183,63.6,9,33.9,66.1,43.7,22.4,22.9,4.9,3.8,26400,26400,30982,34980,,66.4,91.7,60.0,29600,,
001587,Paine College,Augusta,GA,30901-3182,www.paine.edu/,Private,City,21,83.4,,,,,,,,,,,,,338,53.6,11,42.0,58.0,1.8,85.8,3.2,0.0,3.2,14596,14596,15074,27310,,71.3,73.6,19.6,21400,28213,33338
011009,Palau Community College,Koror,PW,96940,palau.edu/,Public,,1,,,,,,,,,,,,,,386,,9,43.5,56.5,0.3,0.0,0.0,3.6,0.0,3730,3970,2810,9408,,72.0,0.0,,,23002,29898
008849,Palm Beach Atlantic University,West Palm Beach,FL,33401,www.pba.edu/,Private,City,17,88.3,970,1210,470,590,500,620,1101,970-1210,19,26,23,19-26,2427,67.0,13,34.9,65.1,52.7,9.5,17.4,2.3,10.8,37990,37990,32751,55576,22500,25.1,38.0,57.7,40600,45925,49232
001512,Palm Beach State College,Lake Worth,FL,33461-4796,www.palmbeachstate.edu/,Public,Suburb,14,,,,,,,,,,,,,,20532,,29,40.0,60.0,24.6,30.3,35.5,2.5,2.5,3050,10910,9832,16741,7081,38.1,9.9,41.4,29800,38259,41923
012300,Palmer College of Chiropractic,Davenport,IA,52803-5287,www.palmer.edu/,Private,City,26,,,,,,,,,,,,,,41,,10,53.7,46.3,82.9,2.4,14.6,0.0,0.0,,,,,,37.5,75.0,,43800,40829,59483
023413,Palo Alto College,San Antonio,TX,78224-2499,alamo.edu/pac/,Public,City,3,,,,,,,,,,,,,,7723,,30,39.0,61.0,12.3,5.3,77.7,1.4,2.7,3412,14422,4374,10911,13393,25.3,2.1,,29500,35918,37448
